symbol	date	year
S&P	36526	1394.46
S&P	36557	1366.42
S&P	36586	1498.58
S&P	36617	1452.43
S&P	36647	1420.6
S&P	36678	1454.6
S&P	36708	1430.83
S&P	36739	1517.68
S&P	36770	1436.51
S&P	36800	1429.4
S&P	36831	1314.95
S&P	36861	1320.28
S&P	36892	1366.01
S&P	36923	1239.94
S&P	36951	1160.33
S&P	36982	1249.46
S&P	37012	1255.82
S&P	37043	1224.38
S&P	37073	1211.23
S&P	37104	1133.58
S&P	37135	1040.94
S&P	37165	1059.78
S&P	37196	1139.45
S&P	37226	1148.08
S&P	37257	1130.2
S&P	37288	1106.73
S&P	37316	1147.39
S&P	37347	1076.92
S&P	37377	1067.14
S&P	37408	989.82
S&P	37438	911.62
S&P	37469	916.07
S&P	37500	815.28
S&P	37530	885.76
S&P	37561	936.31
S&P	37591	879.82
S&P	37622	855.7
S&P	37653	841.15
S&P	37681	848.18
S&P	37712	916.92
S&P	37742	963.59
S&P	37773	974.5
S&P	37803	990.31
S&P	37834	1008.01
S&P	37865	995.97
S&P	37895	1050.71
S&P	37926	1058.2
S&P	37956	1111.92
S&P	37987	1131.13
S&P	38018	1144.94
S&P	38047	1126.21
S&P	38078	1107.3
S&P	38108	1120.68
S&P	38139	1140.84
S&P	38169	1101.72
S&P	38200	1104.24
S&P	38231	1114.58
S&P	38261	1130.2
S&P	38292	1173.82
S&P	38322	1211.92
S&P	38353	1181.27
S&P	38384	1203.6
S&P	38412	1180.59
S&P	38443	1156.85
S&P	38473	1191.5
S&P	38504	1191.33
S&P	38534	1234.18
S&P	38565	1220.33
S&P	38596	1228.81
S&P	38626	1207.01
S&P	38657	1249.48
S&P	38687	1248.29
S&P	38718	1280.08
S&P	38749	1280.66
S&P	38777	1294.87
S&P	38808	1310.61
S&P	38838	1270.09
S&P	38869	1270.2
S&P	38899	1276.66
S&P	38930	1303.82
S&P	38961	1335.85
S&P	38991	1377.94
S&P	39022	1400.63
S&P	39052	1418.3
S&P	39083	1438.24
S&P	39114	1406.82
S&P	39142	1420.86
S&P	39173	1482.37
S&P	39203	1530.62
S&P	39234	1503.35
S&P	39264	1455.27
S&P	39295	1473.99
S&P	39326	1526.75
S&P	39356	1549.38
S&P	39387	1481.14
S&P	39417	1468.36
S&P	39448	1378.55
S&P	39479	1330.63
S&P	39508	1322.7
S&P	39539	1385.59
S&P	39569	1400.38
S&P	39600	1280
S&P	39630	1267.38
S&P	39661	1282.83
S&P	39692	1166.36
S&P	39722	968.75
S&P	39753	896.24
S&P	39783	903.25
S&P	39814	825.88
S&P	39845	735.09
S&P	39873	797.87
S&P	39904	872.81
S&P	39934	919.14
S&P	39965	919.32
S&P	39995	987.48
S&P	40026	1020.62
S&P	40057	1057.08
S&P	40087	1036.19
