year,category,value
2007,Insider Theft,27
2007,Hacking / Skimming / Phishing,63
2007,Data on the Move,123
2007,Accidental Web /Internet Exposure,90
2007,Subcontractor / 3rd Party / Business Associate,52
2008,Insider Theft,102
2008,Hacking / Skimming / Phishing,91
2008,Data on the Move,137
2008,Accidental Web /Internet Exposure,95
2008,Subcontractor / 3rd Party / Business Associate,68
2009,Insider Theft,85
2009,Hacking / Skimming / Phishing,97
2009,Data on the Move,78
2009,Accidental Web /Internet Exposure,59
2009,Subcontractor / 3rd Party / Business Associate,37
2010,Insider Theft,102
2010,Hacking / Skimming / Phishing,113
2010,Data on the Move,111
2010,Accidental Web /Internet Exposure,71
2010,Subcontractor / 3rd Party / Business Associate,58
2011,Insider Theft,56
2011,Hacking / Skimming / Phishing,110
2011,Data on the Move,78
2011,Accidental Web /Internet Exposure,45
2011,Subcontractor / 3rd Party / Business Associate,32
2012,Insider Theft,40
2012,Hacking / Skimming / Phishing,128
2012,Data on the Move,57
2012,Accidental Web /Internet Exposure,41
2012,Subcontractor / 3rd Party / Business Associate,54
2013,Insider Theft,72
2013,Hacking / Skimming / Phishing,160
2013,Data on the Move,79
2013,Accidental Web /Internet Exposure,46
2013,Subcontractor / 3rd Party / Business Associate,89
2014,Insider Theft,81
2014,Hacking / Skimming / Phishing,231
2014,Data on the Move,63
2014,Accidental Web /Internet Exposure,92
2014,Subcontractor / 3rd Party / Business Associate,117
2015,Insider Theft,83
2015,Hacking / Skimming / Phishing,295
2015,Data on the Move,57
2015,Accidental Web /Internet Exposure,109
2015,Subcontractor / 3rd Party / Business Associate,70
2016,Insider Theft,77
2016,Hacking / Skimming / Phishing,607
2016,Data on the Move,53
2016,Accidental Web /Internet Exposure,101
2016,Subcontractor / 3rd Party / Business Associate,70
2017,Insider Theft,64
2017,Hacking / Skimming / Phishing,1002
2017,Data on the Move,42
2017,Accidental Web /Internet Exposure,106
2017,Subcontractor / 3rd Party / Business Associate,128
